model,prompt,cwe,n,accuracy,recall,specificity,precision,f1
gpt-5-nano,zero-shot,CWE-643,35,0.9428571428571428,1,0.9,0.8823529411764706,0.9375
gpt-5-nano,zero-shot,CWE-78,251,0.8764940239043825,1,0.752,0.802547770700637,0.8904593639575972
gpt-5-nano,zero-shot,CWE-79,455,0.9340659340659341,0.991869918699187,0.8660287081339713,0.8970588235294118,0.9420849420849421
gpt-5-nano,zero-shot,CWE-89,504,0.8988095238095238,1,0.7801724137931034,0.8421052631578947,0.9142857142857143
gpt-5-nano,zero-shot,CWE-90,59,0.8135593220338984,1,0.65625,0.7105263157894737,0.8307692307692308
gpt-5-nano,few-shot,CWE-22,268,0.8470149253731343,0.8872180451127819,0.8074074074074075,0.8194444444444444,0.8519855595667869
gpt-5-nano,few-shot,CWE-327,246,0.8902439024390244,0.9923076923076923,0.7758620689655172,0.832258064516129,0.9052631578947369
gpt-5-nano,few-shot,CWE-328,236,0.864406779661017,0.8062015503875969,0.9345794392523364,0.9369369369369369,0.8666666666666667
gpt-5-nano,few-shot,CWE-330,493,0.821501014198783,0.9541284403669725,0.7163636363636363,0.7272727272727273,0.8253968253968254
gpt-5-nano,few-shot,CWE-614,67,0.7164179104477612,0.5277777777777778,0.9354838709677419,0.9047619047619048,0.6666666666666666
gpt-5-nano,few-shot,CWE-643,35,0.7428571428571429,0.9333333333333333,0.6,0.6363636363636364,0.7567567567567568
gpt-5-nano,few-shot,CWE-78,251,0.8286852589641435,1,0.656,0.7455621301775148,0.8542372881355932
gpt-5-nano,few-shot,CWE-79,455,0.9230769230769231,0.9959349593495935,0.8373205741626795,0.8781362007168458,0.9333333333333332
gpt-5-nano,few-shot,CWE-89,504,0.8531746031746031,1,0.6810344827586207,0.7861271676300579,0.8802588996763754
gpt-5-nano,few-shot,CWE-90,59,0.7288135593220338,0.9629629629629629,0.53125,0.6341463414634146,0.7647058823529412
mistral-medium-2505,zero-shot,CWE-22,268,0.4962686567164179,1,0,0.4962686567164179,0.6633416458852868
mistral-medium-2505,zero-shot,CWE-327,246,0.5528455284552846,1,0.05172413793103448,0.5416666666666666,0.7027027027027027
mistral-medium-2505,zero-shot,CWE-328,236,0.559322033898305,1,0.028037383177570093,0.5536480686695279,0.7127071823204421
mistral-medium-2505,zero-shot,CWE-330,493,0.5273833671399595,0.926605504587156,0.2109090909090909,0.4821002386634845,0.6342229199372057
mistral-medium-2505,zero-shot,CWE-614,67,0.6268656716417911,0.3055555555555556,1,1,0.46808510638297873
mistral-medium-2505,zero-shot,CWE-643,35,0.5428571428571428,0.4,0.65,0.46153846153846156,0.42857142857142855
mistral-medium-2505,zero-shot,CWE-78,251,0.50199203187251,1,0,0.50199203187251,0.6684350132625995
mistral-medium-2505,zero-shot,CWE-79,455,0.5626373626373626,0.9959349593495935,0.05263157894736842,0.5530474040632054,0.7111756168359942
mistral-medium-2505,zero-shot,CWE-89,504,0.5396825396825397,1,0,0.5396825396825397,0.7010309278350516
mistral-medium-2505,zero-shot,CWE-90,59,0.4745762711864407,1,0.03125,0.46551724137931033,0.6352941176470588
mistral-medium-2505,few-shot,CWE-22,268,0.4962686567164179,1,0,0.4962686567164179,0.6633416458852868
mistral-medium-2505,few-shot,CWE-327,246,0.508130081300813,0.9538461538461539,0.008620689655172414,0.5188284518828452,0.6720867208672088
mistral-medium-2505,few-shot,CWE-328,236,0.5508474576271186,1,0.009345794392523364,0.548936170212766,0.7087912087912088
mistral-medium-2505,few-shot,CWE-330,493,0.4462474645030426,0.9403669724770642,0.05454545454545454,0.44086021505376344,0.6002928257686676
mistral-medium-2505,few-shot,CWE-614,67,0.6417910447761194,0.3333333333333333,1,1,0.5
mistral-medium-2505,few-shot,CWE-643,35,0.4857142857142857,0.13333333333333333,0.75,0.2857142857142857,0.18181818181818182
mistral-medium-2505,few-shot,CWE-78,251,0.50199203187251,1,0,0.50199203187251,0.6684350132625995
mistral-medium-2505,few-shot,CWE-79,455,0.5582417582417583,0.9715447154471545,0.07177033492822966,0.5519630484988453,0.7039764359351988
mistral-medium-2505,few-shot,CWE-89,504,0.5416666666666666,1,0.004310344827586207,0.5407554671968191,0.7019354838709677
mistral-medium-2505,few-shot,CWE-90,59,0.4576271186440678,1,0,0.4576271186440678,0.627906976744186
mistral-medium-2505,cot,CWE-22,268,0.5746268656716418,0.9924812030075187,0.16296296296296298,0.5387755102040817,0.6984126984126985
mistral-medium-2505,cot,CWE-327,246,0.6829268292682927,0.6846153846153846,0.6810344827586207,0.7063492063492064,0.6953125000000001
mistral-medium-2505,cot,CWE-328,236,0.7584745762711864,0.8372093023255814,0.6635514018691588,0.75,0.7912087912087912
mistral-medium-2505,cot,CWE-330,493,0.6531440162271805,0.981651376146789,0.3927272727272727,0.5616797900262467,0.7145242070116862
mistral-medium-2505,cot,CWE-614,67,0.8656716417910447,0.8055555555555556,0.9354838709677419,0.9354838709677419,0.8656716417910448
mistral-medium-2505,cot,CWE-643,35,0.5142857142857142,1,0.15,0.46875,0.6382978723404256
mistral-medium-2505,cot,CWE-78,251,0.5059760956175299,0.9920634920634921,0.016,0.5040322580645161,0.6684491978609627
mistral-medium-2505,cot,CWE-79,455,0.5802197802197803,0.9959349593495935,0.09090909090909091,0.5632183908045977,0.7195301027900146
mistral-medium-2505,cot,CWE-89,504,0.5734126984126984,1,0.07327586206896551,0.5585215605749486,0.7167325428194994
mistral-medium-2505,cot,CWE-90,59,0.559322033898305,0.8888888888888888,0.28125,0.5106382978723404,0.6486486486486487
o3,zero-shot,CWE-22,268,0.917910447761194,0.9097744360902256,0.9259259259259259,0.9236641221374046,0.9166666666666667
o3,zero-shot,CWE-327,246,0.8821138211382114,0.9846153846153847,0.7672413793103449,0.8258064516129032,0.8982456140350877
